code,exchange,source,as_of
530050,SSE,sse_etf_fundlist,2026-02-10
530060,SSE,sse_etf_fundlist,2026-02-10
530080,SSE,sse_etf_fundlist,2026-02-10
530100,SSE,sse_etf_fundlist,2026-02-10
530180,SSE,sse_etf_fundlist,2026-02-10
530280,SSE,sse_etf_fundlist,2026-02-10
530300,SSE,sse_etf_fundlist,2026-02-10
530380,SSE,sse_etf_fundlist,2026-02-10
530530,SSE,sse_etf_fundlist,2026-02-10
530580,SSE,sse_etf_fundlist,2026-02-10
530680,SSE,sse_etf_fundlist,2026-02-10
530800,SSE,sse_etf_fundlist,2026-02-10
530880,SSE,sse_etf_fundlist,2026-02-10
551000,SSE,sse_etf_fundlist,2026-02-10
551030,SSE,sse_etf_fundlist,2026-02-10
551060,SSE,sse_etf_fundlist,2026-02-10
551300,SSE,sse_etf_fundlist,2026-02-10
551500,SSE,sse_etf_fundlist,2026-02-10
551510,SSE,sse_etf_fundlist,2026-02-10
551520,SSE,sse_etf_fundlist,2026-02-10
551550,SSE,sse_etf_fundlist,2026-02-10
551560,SSE,sse_etf_fundlist,2026-02-10
551580,SSE,sse_etf_fundlist,2026-02-10
551800,SSE,sse_etf_fundlist,2026-02-10
551900,SSE,sse_etf_fundlist,2026-02-10
560000,SSE,sse_etf_fundlist,2026-02-10
560010,SSE,sse_etf_fundlist,2026-02-10
560020,SSE,sse_etf_fundlist,2026-02-10
560030,SSE,sse_etf_fundlist,2026-02-10
560050,SSE,sse_etf_fundlist,2026-02-10
560060,SSE,sse_etf_fundlist,2026-02-10
560070,SSE,sse_etf_fundlist,2026-02-10
560080,SSE,sse_etf_fundlist,2026-02-10
560090,SSE,sse_etf_fundlist,2026-02-10
560100,SSE,sse_etf_fundlist,2026-02-10
560110,SSE,sse_etf_fundlist,2026-02-10
560120,SSE,sse_etf_fundlist,2026-02-10
560130,SSE,sse_etf_fundlist,2026-02-10
560150,SSE,sse_etf_fundlist,2026-02-10
560160,SSE,sse_etf_fundlist,2026-02-10
560170,SSE,sse_etf_fundlist,2026-02-10
560180,SSE,sse_etf_fundlist,2026-02-10
560190,SSE,sse_etf_fundlist,2026-02-10
560220,SSE,sse_etf_fundlist,2026-02-10
560230,SSE,sse_etf_fundlist,2026-02-10
560260,SSE,sse_etf_fundlist,2026-02-10
560280,SSE,sse_etf_fundlist,2026-02-10
560290,SSE,sse_etf_fundlist,2026-02-10
560300,SSE,sse_etf_fundlist,2026-02-10
560330,SSE,sse_etf_fundlist,2026-02-10
560350,SSE,sse_etf_fundlist,2026-02-10
560360,SSE,sse_etf_fundlist,2026-02-10
560380,SSE,sse_etf_fundlist,2026-02-10
560500,SSE,sse_etf_fundlist,2026-02-10
560510,SSE,sse_etf_fundlist,2026-02-10
560520,SSE,sse_etf_fundlist,2026-02-10
560530,SSE,sse_etf_fundlist,2026-02-10
560550,SSE,sse_etf_fundlist,2026-02-10
560560,SSE,sse_etf_fundlist,2026-02-10
560570,SSE,sse_etf_fundlist,2026-02-10
560580,SSE,sse_etf_fundlist,2026-02-10
560590,SSE,sse_etf_fundlist,2026-02-10
560610,SSE,sse_etf_fundlist,2026-02-10
560620,SSE,sse_etf_fundlist,2026-02-10
560630,SSE,sse_etf_fundlist,2026-02-10
560650,SSE,sse_etf_fundlist,2026-02-10
560660,SSE,sse_etf_fundlist,2026-02-10
560680,SSE,sse_etf_fundlist,2026-02-10
560690,SSE,sse_etf_fundlist,2026-02-10
560700,SSE,sse_etf_fundlist,2026-02-10
560710,SSE,sse_etf_fundlist,2026-02-10
560750,SSE,sse_etf_fundlist,2026-02-10
560770,SSE,sse_etf_fundlist,2026-02-10
560780,SSE,sse_etf_fundlist,2026-02-10
560800,SSE,sse_etf_fundlist,2026-02-10
560810,SSE,sse_etf_fundlist,2026-02-10
560820,SSE,sse_etf_fundlist,2026-02-10
560850,SSE,sse_etf_fundlist,2026-02-10
560860,SSE,sse_etf_fundlist,2026-02-10
560880,SSE,sse_etf_fundlist,2026-02-10
560890,SSE,sse_etf_fundlist,2026-02-10
560900,SSE,sse_etf_fundlist,2026-02-10
560950,SSE,sse_etf_fundlist,2026-02-10
560980,SSE,sse_etf_fundlist,2026-02-10
560990,SSE,sse_etf_fundlist,2026-02-10
561000,SSE,sse_etf_fundlist,2026-02-10
561010,SSE,sse_etf_fundlist,2026-02-10
561060,SSE,sse_etf_fundlist,2026-02-10
561080,SSE,sse_etf_fundlist,2026-02-10
561090,SSE,sse_etf_fundlist,2026-02-10
561100,SSE,sse_etf_fundlist,2026-02-10
561120,SSE,sse_etf_fundlist,2026-02-10
561130,SSE,sse_etf_fundlist,2026-02-10
561160,SSE,sse_etf_fundlist,2026-02-10
561170,SSE,sse_etf_fundlist,2026-02-10
561180,SSE,sse_etf_fundlist,2026-02-10
561190,SSE,sse_etf_fundlist,2026-02-10
